State,State/Tribal/Other Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
ALABAMA,Alabama Department of Mental Health,,3,2,1
ALABAMA,Poarch Creek Tribal,,54,46,8
ALABAMA,Mobile Regional Airport,,24,16,8
ALASKA,State Troopers,,609,368,241
ALASKA,Fairbanks International Airport,,33,25,8
,Ted Stevens Anchorage International Airport,,67,54,13
ARIZONA,Arizona Department of Public Safety,,"2,065","1,159",906
ARIZONA,Colorado River Agency,,2,2,0
,Colorado River Tribal,,45,19,26
,Fort Apache Agency,,6,5,1
,Gila River Indian Community,,166,127,39
,Hopi Tribal,,43,15,28
,Pascua Yaqui Tribal,,81,27,54
,Salt River Tribal,,132,107,25
,Tohono O'odham Nation,,167,87,80
,Tonto Apache Tribal,,9,8,1
,Truxton Canon Agency,,9,4,5
ARIZONA,Tucson Airport Authority,,41,21,20
ARKANSAS,Camp Robinson,,13,7,6
,State Capitol Police,,23,21,2
CALIFORNIA,Atascadero State Hospital,,134,125,9
,California State Fair,,5,4,1
,Coalinga State Hospital,,231,214,17
,Department of Parks and Recreation,Capital,537,503,34
,Fairview Developmental Center,,15,13,2
,Highway Patrol,Sacramento County,"10,591","7,197","3,394"
,Napa State Hospital,,125,117,8
,Patton State Hospital,,85,68,17
,Porterville Developmental Center,,50,45,5
,Sonoma Developmental Center,,14,5,9
CALIFORNIA,Hoopa Valley Tribal,,13,6,7
,Sycuan Tribal,,19,10,9
,Yurok Tribal,,12,9,3
CALIFORNIA,East Bay Regional Parks,Alameda County,87,62,25
,Fontana Unified School District,,63,15,48
,Monterey Peninsula Airport,,5,5,0
,Port of San Diego Harbor,,168,130,38
,San Bernardino Unified School District,,75,24,51
,San Francisco Bay Area Rapid Transit,Contra Costa County,277,189,88
,Shasta County Marshal,,22,19,3
,Stockton Unified School District,,41,33,8
,Twin Rivers Unified School District,,26,22,4
COLORADO,Colorado Bureau of Investigation,,247,40,207
,Colorado Mental Health Institute,,103,19,84
,Colorado State Patrol,,"1,128",742,386
COLORADO,Southern Ute Tribal,,38,18,20
,Ute Mountain Tribal,,19,11,8
COLORADO,All Crimes Enforcement Team,,3,3,0
CONNECTICUT,Connecticut State Police,,"1,298","1,060",238
,Department of Motor Vehicles,,61,50,11
,State Capitol Police,,43,32,11
CONNECTICUT,Mashantucket Pequot Tribal,,35,25,10
,Mohegan Tribal,,29,28,1
CONNECTICUT,Metropolitan Transportation Authority,,35,34,1
DELAWARE,Alcohol and Tobacco Enforcement,,19,17,2
,Animal Welfare,New Castle County,18,14,4
,Attorney General:,Kent County,72,7,65
,,New Castle County,306,27,279
,,Sussex County,52,1,51
,Environmental Control,,10,9,1
,Fish and Wildlife,,32,26,6
,Park Rangers,,20,20,0
,River and Bay Authority,,62,51,11
,State Capitol Police,,88,64,24
,State Fire Marshal,,47,17,30
,State Police: ,Kent County,445,271,174
,,New Castle County,302,265,37
,,Sussex County,219,188,31
DELAWARE,Amtrak Police,,18,18,0
,Drug Enforcement Administration,Wilmington Resident Office,33,24,9
,Wilmington Fire Department,,12,12,0
DISTRICT OF COLUMBIA,Metro Transit Police,,500,421,79
FLORIDA,Capitol Police,,82,64,18
,Department of Law Enforcement,"Leon County, Tallahassee","1,681",382,"1,299"
,Division of Alcoholic Beverages and Tobacco,Leon County,177,101,76
,Florida Game Commission,Leon County,996,806,190
FLORIDA,Miccosukee Tribal,,59,42,17
,Seminole Tribal,,205,127,78
FLORIDA,Duval County Schools,,70,70,0
,Florida School for the Deaf and Blind,,17,9,8
,Fort Lauderdale Airport,,110,88,22
,Jacksonville Aviation Authority,,50,36,14
,Lee County Port Authority,,64,41,23
,Melbourne International Airport,,13,12,1
,Miami-Dade County Public Schools,,222,181,41
,Northwest Florida Beaches International Airport,,21,15,6
,Palm Beach County School District,,170,153,17
,Sarasota-Manatee Airport Authority,,11,11,0
,Tampa International Airport,,155,60,95
,Volusia County Beach Management,,55,49,6
GEORGIA,Georgia Department of Transportation,Office of Investigations,3,3,0
,Georgia Forestry Commission,,6,6,0
,Georgia Public Safety Training Center,,150,41,109
,Georgia World Congress,,70,22,48
,Ports Authority,Savannah,120,86,34
GEORGIA,Atlanta Public Schools,,72,63,9
,Augusta Board of Education,,44,41,3
,Bibb County Board of Education,,27,21,6
,Chatham County Board of Education,,59,48,11
,Cherokee County Marshal,,18,11,7
,Cobb County Board of Education,,66,64,2
,Decatur County Schools,,5,5,0
,Fayette County Marshal,,4,4,0
,Forsyth County Fire Investigation Unit,,4,4,0
,Fulton County School System,,74,68,6
,Glynn County School System,,23,23,0
,Gwinnett County Public Schools,,84,74,10
,Hall County Marshal,,15,11,4
,Hartsfield-Jackson Atlanta International Airport,,193,161,32
,Metropolitan Atlanta Rapid Transit Authority,,390,330,60
,Richmond County Marshal,,59,49,10
,Stone Mountain Park,,23,20,3
,Washington County Board of Education,,7,7,0
IDAHO,Idaho State Police,,493,269,224
IDAHO,Coeur d'Alene Tribal,,15,14,1
,Fort Hall Tribal,,34,20,14
,Kootenai Tribal,,2,2,0
ILLINOIS,Illinois State Police,,"2,698","1,674","1,024"
,Secretary of State Police,,219,117,102
ILLINOIS,Alton & Southern Railway,,7,7,0
,Capitol Airport Authority,,6,6,0
,Kane County Forest Preserve,,6,6,0
,McHenry County Conservation District,,13,12,1
,Springfield Park District,,4,4,0
,Terminal Railroad Association,,6,6,0
INDIANA,Indiana State Police,,"1,766","1,291",475
INDIANA,Northern Indiana Commuter Transportation District,,9,8,1
IOWA,Iowa Highway Patrol,,845,555,290
KANSAS,Kansas Alcoholic Beverage Control,,46,18,28
,Kansas Bureau of Investigation,,262,75,187
,Kansas Department of Wildlife and Parks,,167,165,2
,Kansas Highway Patrol,,772,481,291
,Kansas Racing Commission ,Security Division,61,41,20
,Securities Office,Investigation Section,3,3,0
,State Fire Marshal,,13,12,1
KANSAS,Iowa Tribal,,7,7,0
,Kickapoo Tribal,,6,6,0
,Potawatomi Tribal,,19,11,8
,Sac and Fox Tribal,,4,3,1
KANSAS,Blue Valley School District,,6,5,1
,El Dorado School District,,2,2,0
,Johnson County Park,,22,21,1
,Metropolitan Topeka Airport Authority,,20,16,4
,Shawnee Mission Public Schools,,9,9,0
,Unified School District: ,Bluestem,1,1,0
,,Goddard,5,4,1
,,Kansas City,37,33,4
,,Seaman,3,3,0
,,Shawnee Heights,1,1,0
KENTUCKY,Alcohol Beverage Control,Enforcement Division,70,35,35
,Department of Agriculture,Animal Health Enforcement Division,4,4,0
,Fish and Wildlife Enforcement,,128,124,4
,Kentucky Horse Park,,9,9,0
,State Police,,"1,612",975,637
KENTUCKY,Barren County Drug Task Force,,2,1,1
,Cincinnati-Northern Kentucky International Airport,,67,48,19
,Clark County School System,,4,4,0
,Greater Hardin County Narcotics Task Force,,10,9,1
,Lexington Bluegrass Airport,,29,20,9
,Louisville Regional Airport Authority,,46,40,6
,Northern Kentucky Drug Strike Force,,3,2,1
,Pennyrile Narcotics Task Force,,5,4,1
,South Central Kentucky Drug Task Force,,6,6,0
LOUISIANA,Chitimacha Tribal,,15,15,0
,Coushatta Tribal,,25,24,1
,Tunica-Biloxi Tribal,,16,14,2
LOUISIANA,Tensas Basin Levee District,,3,2,1
MAINE,Bureau of Capitol Police,,19,13,6
,State Police,,425,305,120
MAINE,Passamaquoddy Indian Township,,9,5,4
,Passamaquoddy Pleasant Point Tribal,,7,7,0
,Penobscot Nation,,8,5,3
MARYLAND,Comptroller of the Treasury,Field Enforcement Division,55,22,33
,Department of Public Safety and Correctional Services,Internal Investigation Division,48,36,12
,General Services:,"Annapolis, Anne Arundel County",32,24,8
,,Baltimore City,156,58,98
,Natural Resources Police,,531,255,276
,Springfield Hospital,,46,7,39
,State Fire Marshal,,68,43,25
,Transit Administration,,211,161,50
,Transportation Authority,,556,435,121
,State Police: ,Allegany County,70,51,19
,,Anne Arundel County,276,183,93
,,Baltimore City,5,5,0
,,Baltimore County,506,203,303
,,Calvert County,38,30,8
,,Carroll County,132,118,14
,,Cecil County,116,96,20
,,Charles County,34,28,6
,,Frederick County,75,59,16
,,Garrett County,44,34,10
,,Harford County,68,55,13
,,Howard County,162,122,40
,,Montgomery County,40,33,7
,,Prince George's County,103,83,20
,,Queen Anne's County,59,46,13
,,Somerset County,41,32,9
,,St. Mary's County,52,37,15
,,Talbot County,91,71,20
,,Washington County,52,39,13
,,Wicomico County,91,67,24
,,Worcester County,50,37,13
MARYLAND,Maryland-National Capital Park Police:,Montgomery County,107,87,20
,,Prince George's County,130,107,23
MASSACHUSETTS,Division of Law Enforcement,Environmental Police,125,90,35
,Massachusetts Bay Transportation Authority,Suffolk County,260,247,13
,State Police,,"2,712","2,188",524
MASSACHUSETTS,Wampanoag Tribe of Gay Head,,2,2,0
MASSACHUSETTS,Beth Israel Deaconess Medical Center,,57,14,43
,Massachusetts General Hospital,,144,56,88
MICHIGAN,State Police:,Alcona County,1,1,0
,,Alger County,1,1,0
,,Allegan County,41,38,3
,,Alpena County,31,27,4
,,Antrim County,1,1,0
,,Arenac County,1,1,0
,,Baraga County,1,1,0
,,Barry County,1,1,0
,,Bay County,94,85,9
,,Benzie County,1,1,0
,,Berrien County,55,42,13
,,Branch County,4,3,1
,,Calhoun County,57,49,8
,,Cass County,1,1,0
,,Charlevoix County,1,1,0
,,Cheboygan County,1,1,0
,,Chippewa County,31,27,4
,,Clare County,1,1,0
,,Clinton County,12,8,4
,,Crawford County,16,6,10
,,Delta County,30,28,2
,,Dickinson County,22,20,2
,,Eaton County,809,307,502
,,Emmet County,13,1,12
,,Genesee County,127,127,0
,,Gladwin County,1,1,0
,,Gogebic County,12,10,2
,,Grand Traverse County,6,5,1
,,Gratiot County,1,1,0
,,Hillsdale County,1,1,0
,,Houghton County,21,19,2
,,Huron County,1,1,0
,,Ingham County,64,11,53
,,Ionia County,1,1,0
,,Iosco County,1,1,0
,,Iron County,1,1,0
,,Isabella County,38,33,5
,,Jackson County,52,42,10
,,Kalamazoo County,4,4,0
,,Kalkaska County,1,1,0
,,Kent County,133,93,40
,,Keweenaw County,1,1,0
,,Lake County,1,1,0
,,Lapeer County,39,32,7
,,Leelanau County,1,1,0
,,Lenawee County,1,1,0
,,Livingston County,63,53,10
,,Luce County,1,1,0
,,Mackinac County,25,20,5
,,Macomb County,25,7,18
,,Manistee County,1,1,0
,,Marquette County,89,50,39
,,Mason County,1,1,0
,,Mecosta County,1,1,0
,,Menominee County,1,1,0
,,Midland County,1,1,0
,,Missaukee County,1,1,0
,,Monroe County,56,35,21
,,Montcalm County,62,50,12
,,Montmorency County,1,1,0
,,Muskegon County,1,1,0
,,Newaygo County,1,1,0
,,Oakland County,129,101,28
,,Oceana County,35,33,2
,,Ogemaw County,37,35,2
,,Ontonagon County,1,1,0
,,Osceola County,1,1,0
,,Oscoda County,1,1,0
,,Otsego County,91,60,31
,,Ottawa County,2,2,0
,,Presque Isle County,1,1,0
,,Roscommon County,36,32,4
,,Saginaw County,73,20,53
,,Sanilac County,1,1,0
,,Schoolcraft County,1,1,0
,,Shiawassee County,1,1,0
,,St. Clair County,1,1,0
,,St. Joseph County,1,1,0
,,Tuscola County,25,23,2
,,Van Buren County,72,65,7
,,Washtenaw County,1,1,0
,,Wayne County,309,204,105
,,Wexford County,50,46,4
MICHIGAN,Bay Mills Tribal,,11,9,2
,Grand Traverse Tribal,,13,9,4
,Gun Lake Tribal,,10,9,1
,Hannahville Tribal,,13,12,1
,Lac Vieux Desert Tribal,,9,7,2
,Little River Band of Ottawa Indians,,14,11,3
,Nottawaseppi Huron Band of Potawatomi,,14,13,1
,Saginaw Chippewa Tribal,,32,25,7
,Sault Ste. Marie Tribal,,26,22,4
MICHIGAN,Bishop International Airport,,9,8,1
,Capitol Region Airport Authority,,16,10,6
,Genesee County Parks and Recreation ,,5,5,0
,Gerald R. Ford International Airport,,18,17,1
,Huron-Clinton Metropolitan Authority:,Hudson Mills Metropark,3,3,0
,,Kensington Metropark,10,9,1
,,Lower Huron Metropark,9,9,0
,,Stony Creek Metropark,5,5,0
,Wayne County Airport,,104,100,4
MINNESOTA,Bureau of Criminal Apprehension,,133,72,61
,Capitol Security,St. Paul,78,20,58
,Department of Natural Resources Enforcement Division,,199,158,41
,State Patrol: ,Brainerd,37,35,2
,,Detroit Lakes,38,37,1
,,Duluth,39,37,2
,,Golden Valley,91,85,6
,,Mankato,34,32,2
,,Marshall,32,31,1
,,Oakdale,76,71,5
,,Rochester,74,54,20
,,St. Cloud,55,51,4
,,Thief River Falls,29,28,1
,,Virginia,27,25,2
MINNESOTA,Lower Sioux Tribal,,7,7,0
,Mille Lacs Tribal,,33,28,5
,Nett Lake Tribal,,6,5,1
,Upper Sioux Community,,3,3,0
MINNESOTA,Minneapolis-St. Paul International Airport,,137,79,58
,Three Rivers Park District,,15,14,1
MISSISSIPPI,Department of Marine Resources,,42,36,6
,State Capitol Police,,83,69,14
MISSISSIPPI,Choctaw Tribal,,43,39,4
MISSOURI,Capitol Police,,32,29,3
,Department of Conservation,,182,177,5
,Department of Revenue,Compliance and Investigation Bureau,16,13,3
,Department of Social Services,State Technical Assistance Team,14,9,5
,Division of Alcohol and Tobacco Control,,24,13,11
,Gaming Commission,Enforcement Division,117,115,2
,State Fire Marshal,,20,18,2
,State Park Rangers,,44,43,1
,State Highway Patrol:,Jefferson City,"1,017",469,548
,,Kirkwood,274,141,133
,,Lee's Summit,248,134,114
,,Macon,111,74,37
,,Poplar Bluff,159,89,70
,,Rolla,96,66,30
,,Springfield,237,152,85
,,St. Joseph,132,75,57
,,Willow Springs,98,66,32
MISSOURI,Clay County Drug Task Force,,5,5,0
,Clay County Park Authority,,6,6,0
,Jackson County Drug Task Force,,21,19,2
,Jackson County Park Rangers,,22,20,2
,Kansas City International Airport,,93,47,46
,Lambert-St. Louis International Airport,,84,69,15
,Springfield-Branson Airport,,10,10,0
,Springfield-Greene County Park Rangers,,6,6,0
,St. Charles County Park Rangers,,11,11,0
,Terminal Railroad ,,6,6,0
MONTANA,Blackfeet Agency,,31,21,10
,Crow Agency,,22,15,7
,Fort Belknap Tribal,,20,15,5
,Fort Peck Assiniboine and Sioux Tribes,,23,21,2
,Northern Cheyenne Agency,,15,9,6
,Rocky Boy's Tribal,,28,15,13
NEBRASKA,Nebraska State Patrol,,704,462,242
NEBRASKA,Omaha Tribal,,29,9,20
,Santee Tribal,,5,4,1
,Winnebago Tribal,,13,7,6
NEVADA,Capitol Police,,28,27,1
,Department of Public Safety,Investigative Division,33,31,2
,Highway Patrol:,Northeastern Division,79,71,8
,,Northwestern Division,155,137,18
,,Southern Division,208,202,6
,Secretary of State Securities Division,Enforcement Section,11,6,5
,State Fire Marshal,,20,5,15
NEVADA,Eastern Nevada Agency,,27,9,18
,Fallon Tribal,,9,8,1
,Walker River Tribal,,7,7,0
,Western Nevada Agency,,8,5,3
NEVADA,Clark County School District,,187,154,33
,Humboldt County School District,,31,1,30
,Las Vegas Fire and Rescue,Arson Bomb Unit,13,13,0
,North Las Vegas Fire Department Arson Investigations,,1,1,0
,Reno Tahoe Airport Authority,,36,24,12
,Washoe County School District,,43,37,6
NEW HAMPSHIRE,Liquor Commission,,30,18,12
,State Police,,512,332,180
NEW JERSEY,Department of Human Services,,87,87,0
,Division of Fish and Wildlife,,49,46,3
,New Jersey Transit Police,,294,234,60
,Palisades Interstate Parkway,,32,30,2
,Port Authority of New York and New Jersey,,"1,797","1,632",165
,State Police,,"3,848","2,653","1,195"
,State Park Police,,93,91,2
NEW JERSEY,Park Police:,Morris County,29,28,1
,,Union County,98,69,29
,Prosecutor:,Atlantic County,166,74,92
,,Bergen County,257,103,154
,,Burlington County,127,40,87
,,Camden County,267,181,86
,,Cape May County,84,43,41
,,Cumberland County,110,37,73
,,Essex County,373,122,251
,,Gloucester County,101,37,64
,,Hudson County,272,98,174
,,Hunterdon County,53,27,26
,,Mercer County,163,56,107
,,Middlesex County,200,69,131
,,Monmouth County,268,79,189
,,Morris County,153,62,91
,,Ocean County,170,67,103
,,Passaic County,187,77,110
,,Salem County,51,20,31
,,Somerset County,114,48,66
,,Sussex County,55,36,19
,,Union County,173,74,99
,,Warren County,62,22,40
NEW MEXICO,Motor Transportation Police,,190,104,86
,New Mexico State Police,,"1,061",655,406
NEW MEXICO,Jemez Pueblo,,11,9,2
,Laguna Tribal,,47,30,17
,Ohkay Owingeh Tribal,,11,9,2
,Taos Pueblo,,13,8,5
,Tesuque Pueblo,,8,4,4
NEW YORK,State Park:,Allegany Region,13,12,1
,,Central Region,15,12,3
,,Finger Lakes Region,15,13,2
,,Genesee Region,14,13,1
,,Long Island Region,58,54,4
,,New York City Region,22,18,4
,,Niagara Region,28,28,0
,,Palisades Region,37,36,1
,,Saratoga/Capital Region,65,63,2
,,Taconic Region,11,11,0
,,Thousand Island Region,13,13,0
,State Police,Albany County ,"5,776","5,040",736
NEW YORK,Oneida Indian Nation,,42,36,6
,St. Regis Tribal,,33,27,6
NEW YORK,New York City Department of Environmental Protection Police,Ulster County,228,199,29
,New York City Metropolitan Transportation Authority,,715,649,66
,Onondaga County Parks,,1,1,0
NORTH CAROLINA,Cherry Hospital,,16,9,7
,Department of Health and Human Resources,,7,7,0
,Department of Wildlife,,211,200,11
,Division of Alcohol Law Enforcement,,105,89,16
,Division of Marine Fisheries,,60,51,9
,North Carolina Arboretum,,4,4,0
,North Carolina Highway Patrol,,"2,178","1,674",504
,North Carolina State Bureau of Investigation,,337,223,114
,State Capitol Police,,83,53,30
,State Fairgrounds,,6,2,4
,State Park Rangers:,Carolina Beach,6,4,2
,,Carvers Creek,6,3,3
,,Chimney Rock,8,5,3
,,Cliffs of the Neuse,8,2,6
,,Crowders Mountain,7,7,0
,,Dismal Swamp,6,3,3
,,Elk Knob,4,2,2
,,Eno River,8,5,3
,,Falls Lake Recreation Area,17,14,3
,,Fort Fisher,4,4,0
,,Fort Macon,6,5,1
,,Goose Creek,5,4,1
,,Gorges,5,2,3
,,Grandfather Mountain,3,3,0
,,Hammocks Beach,6,3,3
,,Hanging Rock,6,6,0
,,Haw River,2,2,0
,,Jockey's Ridge,6,5,1
,,Jones Lake,4,4,0
,,Jordan Lake State Recreation Area,14,14,0
,,Kerr Lake,10,7,3
,,Lake James,5,5,0
,,Lake Norman,6,5,1
,,Lake Waccamaw,7,4,3
,,Lumber River,7,3,4
,,Mayo River,4,2,2
,,Medoc Mountain,2,2,0
,,Merchants Millpond,4,4,0
,,Morrow Mountain,3,3,0
,,Mount Mitchell,3,2,1
,,New River-Mount Jefferson,8,8,0
,,Pettigrew,3,2,1
,,Pilot Mountain,5,5,0
,,Raven Rock,5,2,3
,,Singletary Lake ,3,2,1
,,South Mountains,8,7,1
,,Stone Mountain,6,6,0
,,Weymouth Woods/Sandhills Nature Preserve,4,2,2
,,William B. Umstead,10,6,4
NORTH CAROLINA,Cherokee Tribal,,83,54,29
NORTH CAROLINA,Asheville Regional Airport,,17,14,3
,Beaufort County Alcohol Beverage Control Enforcement,,1,1,0
,Durham County Alcohol Beverage Control Law Enforcement Office,,2,2,0
,Nash County Alcohol Beverage Control Enforcement,,1,1,0
,Piedmont Triad International Airport,,28,20,8
,Raleigh-Durham International Airport,,39,37,2
,Triad Alcohol Beverage Control Law Enforcement,,5,4,1
,University of North Carolina Hospitals ,,99,39,60
,WakeMed Campus Police,,71,44,27
,Wilmington International Airport,,14,10,4
NORTH DAKOTA,North Dakota Highway Patrol,,197,156,41
NORTH DAKOTA,Fort Berthold Agency,,48,40,8
,Fort Totten Agency,,16,11,5
,Standing Rock Agency,,44,17,27
,Turtle Mountain Agency,,25,19,6
OHIO,Ohio State Highway Patrol,,"2,572","1,644",928
OHIO,Clark County Park District,,1,1,0
,Hamilton County Park District,,32,29,3
,Lake Metroparks,,14,13,1
,Mill Creek MetroPark,,12,11,1
,Preservation Parks of Delaware County,,6,6,0
,Republic N&T Railroad,,3,3,0
,University Hospitals Portage Medical Center,,8,8,0
OKLAHOMA,Capitol Park Police,,61,12,49
,Oklahoma Highway Patrol,,"1,400",805,595
OKLAHOMA,Absentee Shawnee Tribal,,12,11,1
,Anadarko Agency,,13,7,6
,Cherokee Nation,,43,35,8
,Chickasaw Nation,,58,47,11
,Choctaw Nation,,38,37,1
,Citizen Potawatomi Nation,,41,28,13
,Comanche Nation,,36,25,11
,Concho Agency,,6,6,0
,Eastern Shawnee Tribal,,17,16,1
,Iowa Tribal,,13,6,7
,Kaw Tribal,,7,7,0
,Kickapoo Tribal,,14,13,1
,Miami Agency,,5,5,0
,Miami Tribal,,10,10,0
,Muscogee Nation Tribal,,51,41,10
,Osage Nation,,19,18,1
,Otoe-Missouria Tribal,,13,8,5
,Pawnee Tribal,,6,5,1
,Ponca Tribal,,5,5,0
,Quapaw Tribal,,13,12,1
,Sac and Fox Tribal,,10,10,0
,Seminole Nation Lighthorse ,,11,10,1
,Tonkawa Tribal,,8,6,2
,Wyandotte Nation,,11,9,2
OKLAHOMA,Jenks Public Schools,,8,7,1
,McAlester Public Schools,,1,1,0
,Putnam City Campus,,16,12,4
