State,Total law enforcement employees,"Total
officers",NA,"Total
civilians",NA,"Number 
of 
agencies","2009 
estimated 
population"
ALABAMA,16917,10438,807,2151,3521,349,4587633
ALASKA,1977,1156,106,246,469,39,696273
ARIZONA,22910,11596,1375,4534,5405,106,6482281
ARKANSAS,9970,5682,518,1478,2292,281,2888639
CALIFORNIA,121879,69749,10572,14550,27008,461,31832381
COLORADO,17435,10286,1499,1868,3782,233,5018161
CONNECTICUT,10556,7830,792,768,1166,104,3518288
DELAWARE,3127,1986,310,310,521,54,884765
"DISTRICT OF COLUMBIA
",5189,3492,981,292,424,2,599657
FLORIDA,72235,37894,6224,10001,18116,365,17648382
GEORGIA,34809,21107,3921,3413,6368,444,9154201
HAWAII,3802,2684,306,251,561,4,1295178
IDAHO,4215,2511,179,320,1205,108,1543324
ILLINOIS,50833,30663,5574,6940,7656,736,12675815
INDIANA,16856,10326,907,2638,2985,242,5995956
IOWA,8057,4842,439,1067,1709,234,2988922
KANSAS,10227,6151,610,1388,2078,342,2498126
KENTUCKY,10483,7700,548,925,1310,395,4239650
LOUISIANA,15453,9215,1925,1605,2708,156,2771692
MAINE,2859,2117,134,245,363,134,1317341
MARYLAND,20609,13584,2080,1863,3082,131,5519662
MASSACHUSETTS,16783,12802,1153,1138,1690,324,6396251
MICHIGAN,25419,16302,2498,2935,3684,630,9845506
MINNESOTA,13709,7806,1076,1984,2843,320,5180883
MISSISSIPPI,8764,4924,493,1419,1928,192,2675080
MISSOURI,20486,13218,1420,2160,3688,555,5874396
MONTANA,2965,1678,102,539,646,110,972240
NEBRASKA,4815,3124,394,334,963,162,1750280
NEVADA,10115,5410,574,1440,2691,45,2643085
NEW HAMPSHIRE,3353,2349,192,246,566,149,1166104
NEW JERSEY,41609,29437,2653,3510,6009,543,8415289
NEW MEXICO,6615,4048,427,844,1296,107,1958665
NEW YORK,83941,53588,8572,7711,14070,436,19120958
NORTH CAROLINA,32357,19851,2455,4583,5468,499,9260266
NORTH DAKOTA,1735,1128,132,176,299,103,646844
OHIO,29797,19818,2292,2720,4967,610,10223161
OKLAHOMA,11984,7250,698,1718,2318,318,3681857
OREGON,10230,5447,588,1821,2374,207,3790072
PENNSYLVANIA,29505,22382,2628,1670,2825,952,9523147
RHODE ISLAND,3191,2370,184,290,347,48,1053209
SOUTH CAROLINA,12881,8449,1112,1130,2190,268,3779301
SOUTH DAKOTA,2336,1396,88,351,501,143,809838
TENNESSEE,25407,14385,1505,4302,5215,454,6293243
TEXAS,89867,48579,6278,15472,19538,1010,24590665
UTAH,7830,4430,355,1460,1585,133,2783798
VERMONT,1419,976,96,108,239,52,303744
VIRGINIA,23395,16168,2155,1313,3759,279,7880881
WASHINGTON,14862,9612,981,1447,2822,243,6642851
WEST VIRGINIA,4460,3362,114,374,610,347,1810824
WISCONSIN,19156,11326,1794,2399,3637,389,5648330
WYOMING,2072,1331,115,145,481,66,540376